"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-01","3.13",,"0.00","0.0","0.0","53","65","46","  310","  330","13.0","18.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-02","4.92",,"0.64","0.0","0.0","55","59","52","  200","  190","13.0","19.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-03","2.24",,"0.10","0.0","0.0","58","61","56","  340","  320","8.1","10.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-04","5.82",,"0.00","0.0","0.0","58","64","55","  120","  120","14.1","17.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-05","3.36",,"0.01","0.0","0.0","59","66","54","  320","  140","8.9","12.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-06","2.68",,"0.00","0.0","0.0","62","70","51","  290","  280","6.9","10.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-07","2.24",,"0.00","0.0","0.0","58","74","48","  320","  230","8.9","10.1","    1",,,,,,"    1",
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-08","3.13",,"0.00","0.0","0.0","62","74","51","  150","  140","8.9","14.1","    1","    1",,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-09","8.50",,"0.00","0.0","0.0","61","68","52","  200","  190","18.1","23.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-10","6.93",,"0.00","0.0","0.0","58","68","51","  190","  180","15.0","21.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-11","7.61",,"0.00","0.0","0.0","64","73","55","  200","  170","14.1","17.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-12","5.82",,"0.00","0.0","0.0","65","76","54","  200","  210","16.1","21.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-13","5.82",,"0.00","0.0","0.0","65","73","54","  210","  200","15.0","19.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-14","1.34",,"0.00","0.0","0.0","66","71","63","   10","   30","6.9","8.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-15","6.26",,"0.04","0.0","0.0","66","73","59","  200","  200","17.0","21.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-16","10.29",,"1.20","0.0","0.0","69","77","57","  250","  250","31.1","44.1","    1","    1",,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-17","7.61",,"0.00","0.0","0.0","56","62","50","  310","  300","17.0","21.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-18","9.62",,"0.11","0.0","0.0","50","51","46","  330","   30","18.1","23.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-19","6.93",,"0.02","0.0","0.0","49","54","44","  320","  320","18.1","23.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-20","0.67",,"0.00","0.0","0.0","53","69","41","  180","  180","6.9","6.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-21","6.71",,"0.27","0.0","0.0","56","64","50","  200","  170","16.1","23.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-22","10.51",,"0.17","0.0","0.0","57","64","39","  180","  190","19.9","28.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-23","3.36",,"0.00","0.0","0.0","42","50","35","  340","  340","13.0","16.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-24","2.68",,"0.00","0.0","0.0","43","56","31","  200","  210","10.1","14.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-25","6.04",,"0.42","0.0","0.0","44","49","42","  130","  120","15.0","19.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-26","8.50",,"0.48","0.0","0.0","50","57","48","  360","  360","17.0","21.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-27","11.86",,"0.00","0.0","0.0","49","54","42","  360","  360","19.9","23.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-28","3.58",,"0.00","0.0","0.0","44","53","35","  330","  340","10.1","14.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-29","3.58",,"0.00","0.0","0.0","42","58","32","  130","  130","13.0","14.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-30","5.14",,"0.43","0.0","0.0","48","56","43","  130","  130","21.9","28.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-10-31","5.37",,"1.60","0.0","0.0","52","55","50","  330","  330","15.0","18.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-01","9.62",,"0.00","0.0","0.0","52","56","42","  260","  270","21.9","31.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-02","6.04",,"0.05","0.0","0.0","45","50","37","  290","  290","17.0","23.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-03","2.46",,"0.30","0.0","0.0","39","44","31","  340","  320","14.1","17.0","    1",,,"    1",,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-04","4.03",,"0.00","0.0","0.0","35","44","28","  180","  180","14.1","14.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-05","2.46",,"0.00","0.0","0.0","36","47","26","  300","  310","12.1","15.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-06","4.70",,"0.00","0.0","0.0","37","50","27","  190","  200","15.0","19.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-07","4.25",,"0.00","0.0","0.0","40","55","27","  200","  200","17.0","21.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-08","1.79",,"0.00","0.0","0.0","44","60","32","   60","  250","6.9","10.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-09","2.01",,"0.00","0.0","0.0","47","59","37","  200","  200","8.1","10.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-10","4.92",,"0.11","0.0","0.0","50","57","33","  320","  330","19.9","25.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-11","2.68",,"0.00","0.0","0.0","40","52","31","  140","  150","17.0","25.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-12","10.74",,"0.41","0.0","0.0","51","56","37","  150","  150","28.0","40.0","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-13","6.26",,"0.86","0.0","0.0","43","51","34","  190","  190","18.1","23.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-14","7.38",,"0.10","0.0","0.0","42","48","36","  200","  190","15.0","19.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-15","10.29",,"0.12","0.1","0.0","40","42","36","  330","  320","21.0","28.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-16","9.40",,"0.01","0.0","0.0","38","41","27","  340","  320","19.9","23.9",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-17","8.95",,"0.00","0.0","0.0","33","51","25","  190","  200","29.1","40.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-18","14.76",,"0.32","0.0","0.0","53","61","43","  200","  200","28.0","42.1","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-19","11.86",,"0.00","0.0","0.0","41","44","34","  330","  330","23.9","30.0",,,,,"    1",,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","2021-11-20","7.83",,"0.00","0.0","0.0","35","42","24","  190","  200","19.9","28.0",,,,,,,,
