"","q_quant","risingerp","fallingerp","hyst_index","flsh_index","run_id","storm_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh"
"1",0,0.865384615384615,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"2",0.01,0.873810897435897,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"3",0.02,0.882339743589743,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"4",0.03,0.89484980620155,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"5",0.04,0.899866666666666,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"6",0.05,0.916456919306184,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"7",0.06,0.915217760180995,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"8",0.07,0.910174432938856,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"9",0.08,0.912593688362919,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
"10",0.09,0.912305402930403,NA,NA,-0.790064102564103,"FC = 0.99, SFT = 0.1","storm_1","2015-04-09 14:45:00","2015-04-12 06:45:00",221768.741266131,64.25,3451.65356056235,"0.99","0.1"
