"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.1","2014-06-25 07:00:00","2014-06-28 02:15:00",158047.176040577,470191211.627088,67.5,3.28580407568768,9.77528506501222,2341.43964504559,0.996,"0.1","storm_1"
"2","FC = 0.996, SFT = 0.1","2014-07-04 02:30:00","2014-07-04 19:45:00",7573.82265262483,9765960.67132561,17.5,0.157459930408001,0.203034525391385,432.789865864276,0.996,"0.1","storm_2"
"3","FC = 0.996, SFT = 0.1","2014-07-06 02:45:00","2014-07-06 09:00:00",4086.07105228961,6243254.99534746,6.5,0.0849495021266031,0.129797401150675,628.626315736863,0.996,"0.1","storm_3"
"4","FC = 0.996, SFT = 0.1","2014-07-09 01:00:00","2014-07-09 21:45:00",17908.2659423861,23353812.597291,21,0.372313221255428,0.48552624942393,852.774568685052,0.996,"0.1","storm_4"
"5","FC = 0.996, SFT = 0.1","2014-07-13 22:00:00","2014-07-14 03:30:00",2244.92364444287,2321236.78382067,5.75,0.0466720092399765,0.0482585609941927,390.421503381369,0.996,"0.1","storm_5"
"6","FC = 0.996, SFT = 0.1","2014-07-15 17:00:00","2014-07-16 21:00:00",42784.5783198946,102005815.268838,28.25,0.889492272762882,2.12070302014217,1514.49834760689,0.996,"0.1","storm_6"
"7","FC = 0.996, SFT = 0.1","2014-07-28 12:30:00","2014-07-30 23:00:00",212357.356759837,624106246.32946,58.75,4.41491386195088,12.9751818363713,3614.59330655042,0.996,"0.1","storm_7"
"8","FC = 0.996, SFT = 0.1","2014-08-07 15:00:00","2014-08-08 19:15:00",17573.5194689172,13535509.2274581,28.5,0.365353835112623,0.281403518242372,616.61471820762,0.996,"0.1","storm_8"
"9","FC = 0.996, SFT = 0.1","2014-08-13 20:15:00","2014-08-16 04:00:00",128219.21236749,138658426.808204,56,2.66568009080021,2.88271157605414,2289.62879227661,0.996,"0.1","storm_9"
"10","FC = 0.996, SFT = 0.1","2014-08-17 04:45:00","2014-08-18 17:00:00",22666.8155672224,33158866.6794084,36.5,0.471243566886121,0.689373527638428,621.008645677327,0.996,"0.1","storm_10"
"11","FC = 0.996, SFT = 0.1","2014-10-19 01:45:00","2014-10-20 00:15:00",12566.2893223886,13064651.4195987,22.75,0.261253416265875,0.271614374627831,552.364365819278,0.996,"0.1","storm_11"
"12","FC = 0.996, SFT = 0.1","2014-10-23 19:45:00","2014-10-25 12:15:00",36094.5065251576,65971064.0732409,40.75,0.750405541063567,1.37153979362247,885.75476135356,0.996,"0.1","storm_12"
"13","FC = 0.996, SFT = 0.1","2014-10-26 01:30:00","2014-10-27 02:30:00",13092.1801381547,24432551.0367581,25.25,0.272186697258934,0.507953244007444,518.502183689296,0.996,"0.1","storm_13"
"14","FC = 0.996, SFT = 0.1","2014-10-29 14:00:00","2014-10-30 01:45:00",4554.00136632122,7605004.20790309,12,0.0946777830836012,0.158108195590501,379.500113860101,0.996,"0.1","storm_14"
"15","FC = 0.996, SFT = 0.1","2014-11-07 17:15:00","2014-11-09 01:00:00",19018.9826549395,36532522.7383569,32,0.395405044801237,0.759511907242348,594.34320796686,0.996,"0.1","storm_15"
"16","FC = 0.996, SFT = 0.1","2014-11-18 01:00:00","2014-11-19 03:30:00",22414.963228268,36507542.7199153,26.75,0.466007551523244,0.758992572139612,837.942550589459,0.996,"0.1","storm_16"
