"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id","water_yield_mm","constit_yield_mm"
"1","FC = 0.996, SFT = 0.098",2014-07-27,"2014-07-29 23:30:00",75551.8499573972,60,1259.19749928995,0.996,"0.098","storm_1",1.57072453133882,1.57072453133882
"2","FC = 0.996, SFT = 0.098",2014-07-31,"2014-08-01 01:00:00",5963.0098042689,11.25,530.045315935013,0.996,"0.098","storm_2",0.123971097801848,0.123971097801848
"3","FC = 0.996, SFT = 0.098",2014-08-13,"2014-08-14 20:30:00",35497.4643405219,28.5,1245.52506457972,0.996,"0.098","storm_3",0.737993021632473,0.737993021632473
"4","FC = 0.996, SFT = 0.098",2014-09-02,"2014-09-03 09:45:00",4919.74132383847,11.25,437.310339896753,0.996,"0.098","storm_4",0.102281524404126,0.102281524404126
"5","FC = 0.996, SFT = 0.098",2014-09-06,"2014-09-07 04:30:00",8490.54002822838,14.5,585.554484705405,0.996,"0.098","storm_5",0.176518503705372,0.176518503705372
"6","FC = 0.996, SFT = 0.098",2014-10-04,"2014-10-05 16:15:00",26241.5545664962,25.5,1029.08057123514,0.996,"0.098","storm_6",0.54556246499992,0.54556246499992
"7","FC = 0.996, SFT = 0.098",2014-10-16,"2014-10-17 13:45:00",27400.067613388,26.5,1033.96481559955,0.996,"0.098","storm_7",0.569647975330312,0.569647975330312
"8","FC = 0.996, SFT = 0.098",2014-10-18,"2014-10-19 14:45:00",15534.9749248743,25.5,609.214702936248,0.996,"0.098","storm_8",0.322972451660589,0.322972451660589
"9","FC = 0.996, SFT = 0.098",2014-10-23,"2014-10-25 02:15:00",19882.0457286954,32.25,616.497541975051,0.996,"0.098","storm_9",0.413348144047721,0.413348144047721
"10","FC = 0.996, SFT = 0.098",2014-11-07,"2014-11-09 00:45:00",12298.8528053267,19.5,630.710400273166,0.996,"0.098","storm_10",0.255693405516148,0.255693405516148
"11","FC = 0.996, SFT = 0.098",2015-04-07,"2015-04-12 08:30:00",96598.7577946491,112.75,856.751732103318,0.996,"0.098","storm_11",2.00829018284094,2.00829018284094
"12","FC = 0.996, SFT = 0.098",2015-04-12,"2015-04-13 08:15:00",5391.13330718628,10.75,501.500772761514,0.996,"0.098","storm_12",0.112081773538176,0.112081773538176
"13","FC = 0.996, SFT = 0.098",2015-04-14,"2015-04-15 08:30:00",15962.3061640644,30.25,527.679542613699,0.996,"0.098","storm_13",0.331856677007576,0.331856677007576
"14","FC = 0.996, SFT = 0.098",2015-04-15,"2015-04-16 08:30:00",4791.43619411214,9.75,491.429353242271,0.996,"0.098","storm_14",0.0996140580896495,0.0996140580896495
"15","FC = 0.996, SFT = 0.098",2015-04-17,"2015-04-17 13:45:00",2993.47173663649,6.5,460.534113328691,0.996,"0.098","storm_15",0.0622343396390123,0.0622343396390123
"16","FC = 0.996, SFT = 0.098",2015-04-17,"2015-04-18 09:30:00",5541.71720974402,13,426.285939211078,0.996,"0.098","storm_16",0.115212416002994,0.115212416002994
"17","FC = 0.996, SFT = 0.098",2015-04-20,"2015-04-21 03:00:00",9356.58356924575,17.75,527.131468689902,0.996,"0.098","storm_17",0.194523566928186,0.194523566928186
"18","FC = 0.996, SFT = 0.098",2015-04-21,"2015-04-25 10:30:00",133988.14461319,102.5,1307.20141086039,0.996,"0.098","storm_18",2.78561631212453,2.78561631212453
"19","FC = 0.996, SFT = 0.098",2015-04-27,"2015-04-28 08:45:00",4772.64014876698,10.5,454.537157025427,0.996,"0.098","storm_19",0.0992232879161535,0.0992232879161535
"20","FC = 0.996, SFT = 0.098",2015-04-29,"2015-04-29 08:00:00",2949.30718634476,7.25,406.800991219968,0.996,"0.098","storm_20",0.0613161577202654,0.0613161577202654
"21","FC = 0.996, SFT = 0.098",2015-05-10,"2015-05-11 12:45:00",11137.366416376,18.25,610.266652952111,0.996,"0.098","storm_21",0.231546079342537,0.231546079342537
"22","FC = 0.996, SFT = 0.098",2015-05-11,"2015-05-13 13:00:00",50836.8800855411,46,1105.14956707698,0.996,"0.098","storm_22",1.05689979387819,1.05689979387819
"23","FC = 0.996, SFT = 0.098",2015-05-28,"2015-05-29 00:45:00",2356.9299818337,5,471.38599636674,0.996,"0.098","storm_23",0.0490006233229459,0.0490006233229459
"24","FC = 0.996, SFT = 0.098",2015-05-30,"2015-06-03 10:00:00",136058.905286036,87.75,1550.52883516851,0.996,"0.098","storm_24",2.82866746956417,2.82866746956417
"25","FC = 0.996, SFT = 0.098",2015-06-05,"2015-06-06 14:30:00",16854.9686470123,18.75,898.931661173991,0.996,"0.098","storm_25",0.350415148586535,0.350415148586535
"26","FC = 0.996, SFT = 0.098",2015-06-08,"2015-06-26 13:00:00",40729.3419674977,47.25,861.996655396776,0.996,"0.098","storm_26",0.846763866268143,0.846763866268143
"27","FC = 0.996, SFT = 0.098",2015-06-28,"2015-06-30 10:30:00",101946.994147434,55.5,1836.88277743124,0.996,"0.098","storm_27",2.11948012780527,2.11948012780527
"28","FC = 0.996, SFT = 0.098",2015-07-01,"2015-07-03 17:15:00",388878.875675749,57.75,6733.83334503462,0.996,"0.098","storm_28",8.08479991009874,8.08479991009874
"29","FC = 0.996, SFT = 0.098",2015-07-03,"2015-07-04 08:00:00",3372.23164102442,8.5,396.733134238167,0.996,"0.098","storm_29",0.0701087659256636,0.0701087659256636
"30","FC = 0.996, SFT = 0.098",2015-07-04,"2015-07-22 21:45:00",43025.644931099,50,860.51289862198,0.996,"0.098","storm_30",0.894504052621601,0.894504052621601
