"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.1","2021-12-02 18:00:00","2021-12-05 07:00:00",205550.724090134,54041576.8337895,68.75,4.27340382723771,1.12352550589999,2989.82871403831,0.996,"0.1","storm_1"
"2","FC = 0.996, SFT = 0.1","2021-12-10 16:45:00","2021-12-11 01:15:00",4977.94122513206,1169.81618790603,8.75,0.103491501561997,2.43205028670693e-05,568.907568586521,0.996,"0.1","storm_2"
"3","FC = 0.996, SFT = 0.1","2021-12-11 16:00:00","2021-12-15 10:00:00",272081.551544657,53482151.173391,101.25,5.65658111319454,1.11189503478983,2687.22520044106,0.996,"0.1","storm_3"
"4","FC = 0.996, SFT = 0.1","2021-12-15 19:00:00","2021-12-20 16:30:00",39910.7258884218,10062.277171741,43.75,0.829744820965109,0.000209194951595447,912.245163163926,0.996,"0.1","storm_4"
"5","FC = 0.996, SFT = 0.1","2021-12-20 18:30:00","2021-12-24 02:30:00",72450.3212710828,17617.5637558128,84,1.5062436854695,0.000366269516752866,862.503824655748,0.996,"0.1","storm_5"
"6","FC = 0.996, SFT = 0.1","2021-12-24 04:00:00","2021-12-24 15:30:00",13995.6054301213,12413.5628531822,13.5,0.290968927861149,0.000258078229795887,1036.71151334232,0.996,"0.1","storm_6"
"7","FC = 0.996, SFT = 0.1","2022-01-09 10:00:00","2022-01-11 09:00:00",30708.6081330903,7216.52291127622,54.75,0.638432601519549,0.000150031661357094,560.887819782471,0.996,"0.1","storm_7"
"8","FC = 0.996, SFT = 0.1","2022-01-16 14:00:00","2022-01-21 09:00:00",61449.6057031599,14440.6573402426,77.75,1.27753858010728,0.00030022156632521,790.348626407202,0.996,"0.1","storm_8"
"9","FC = 0.996, SFT = 0.1","2022-01-21 13:45:00","2022-01-22 02:45:00",8936.43461534929,2100.06213460708,13.25,0.185788661441773,4.36603354388167e-05,674.44789549806,0.996,"0.1","storm_9"
"10","FC = 0.996, SFT = 0.1","2022-01-22 14:15:00","2022-01-27 01:30:00",83415.4989459065,19602.642252288,129.5,1.73420995729535,0.000407539339964408,644.135126995417,0.996,"0.1","storm_10"
"11","FC = 0.996, SFT = 0.1","2022-01-27 12:45:00","2022-01-30 10:00:00",45073.2672324561,10592.2177996272,80.75,0.937074162836925,0.000220212428266677,558.182875943729,0.996,"0.1","storm_11"
"12","FC = 0.996, SFT = 0.1","2022-01-30 14:00:00","2022-01-30 22:45:00",3341.60605842165,785.277423729089,9,0.0694720594266456,1.63259339652617e-05,371.289562046851,0.996,"0.1","storm_12"
"13","FC = 0.996, SFT = 0.1","2022-02-03 07:45:00","2022-02-06 05:15:00",139711.929259389,18804825.1463291,81,2.9046139139166,0.390952705744888,1724.83863283196,0.996,"0.1","storm_13"
"14","FC = 0.996, SFT = 0.1","2022-02-06 06:30:00","2022-02-09 05:45:00",60925.3024128569,7510242.77575278,86.5,1.2666383038016,0.156138103446004,704.338756217998,0.996,"0.1","storm_14"
"15","FC = 0.996, SFT = 0.1","2022-02-11 10:45:00","2022-02-17 05:00:00",860059.141651814,281565858.704214,149.75,17.8806474355886,5.85376005622066,5743.2997773076,0.996,"0.1","storm_15"
"16","FC = 0.996, SFT = 0.1","2022-02-17 14:30:00","2022-03-04 23:30:00",1391160.70627418,617783408.104172,141.25,28.9222600057002,12.8437298982156,9848.92535415349,0.996,"0.1","storm_16"
"17","FC = 0.996, SFT = 0.1","2022-03-06 15:30:00","2022-03-14 12:30:00",537789.677958662,152588545.814346,144.5,11.1806585854192,3.1723190397993,3721.72787514645,0.996,"0.1","storm_17"
"18","FC = 0.996, SFT = 0.1","2022-03-15 13:45:00","2022-03-15 14:00:00",1886.55519541012,120400.275356912,5,0.039221521734098,0.00250312422779443,377.311039082023,0.996,"0.1","storm_18"
"19","FC = 0.996, SFT = 0.1","2022-03-19 13:00:00","2022-03-19 13:30:00",2723.94336849035,562163.539318115,6,0.0566308392617536,0.0116873916698153,453.990561415058,0.996,"0.1","storm_19"
"20","FC = 0.996, SFT = 0.1","2022-03-19 15:45:00","2022-03-19 16:30:00",5925.25022377389,1142994.59627993,13,0.123186075338335,0.0237628814195412,455.788478751838,0.996,"0.1","storm_20"
"21","FC = 0.996, SFT = 0.1","2022-03-24 04:00:00","2022-03-24 04:00:00",1503.05888417525,123775.95819697,4,0.0312486254506288,0.00257330474421975,375.764721043812,0.996,"0.1","storm_21"
"22","FC = 0.996, SFT = 0.1","2022-03-24 06:45:00","2022-03-30 09:00:00",585485.968257195,140534465.154191,136.5,12.1722654523325,2.92171445227009,4289.2744927267,0.996,"0.1","storm_22"
"23","FC = 0.996, SFT = 0.1","2022-04-19 08:45:00","2022-04-25 19:15:00",890789.522006511,233687791.682454,177.25,18.519532682048,4.85837404745226,5025.6108434782,0.996,"0.1","storm_23"
"24","FC = 0.996, SFT = 0.1","2022-04-26 11:45:00","2022-05-01 21:45:00",249735.35054573,50196740.2464285,156.5,5.19200312984886,1.04359127331452,1595.75303863086,0.996,"0.1","storm_24"
