"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr"
"1","storm_1","2021-12-06 18:00:00","2021-12-11 15:15:00",946567.0375713,179506381.87087,132.25,19.6791483902557,3.7319414110368,7157.40671131418
"2","storm_2","2022-04-07 10:30:00","2022-04-13 18:15:00",761034.8126214,221138948.608956,76.5,15.8219295763285,4.59748333906354,9948.16748524706
"3","storm_3","2022-04-13 18:15:00","2022-04-19 06:45:00",1256955.5979378,269443557.824807,136.5,26.1321330132599,5.6017371689149,9208.46591895824
"4","storm_4","2022-04-19 06:45:00","2022-04-26 07:15:00",1830705.6986118,371265887.25144,174,38.0604095345489,7.71862551458295,10521.2971184586
"5","storm_5","2022-05-15 02:15:00","2022-05-27 09:15:00",1929879.3734001,673945300.203547,304.25,40.1222322952204,14.0113368025686,6343.07107115892
"6","storm_6","2022-05-27 09:15:00","2022-06-02 01:30:00",1154562.5834838,515156745.146736,140.25,24.0033801140083,10.7101194417201,8232.17528330695
"7","storm_7","2022-12-30 03:30:00","2023-01-05 04:45:00",1575128.108538,248847018.119844,148.5,32.7469461234511,5.17353468024623,10606.9232898182
"8","storm_8","2023-01-05 04:45:00","2023-01-13 05:15:00",1933169.865543,412298118.542083,206.75,40.1906416952807,8.57168645617636,9350.27746332769
"9","storm_9","2023-01-13 05:15:00","2023-01-18 09:15:00",996586.2714807,67614823.96255,125,20.7190493031331,1.40571359589501,7972.6901718456
"10","storm_10","2023-02-10","2023-02-15 22:15:00",1933135.0339383,243609207.916293,144.75,40.1899175454948,5.06464049722023,13354.9915988829
"11","storm_11","2023-02-15 22:15:00","2023-02-23 12:30:00",1437152.0795874,95333979.359763,177.75,29.8784216130437,1.98199541288489,8085.24376701772
"12","storm_12","2022-02-10 13:30:00","2022-02-17 09:45:00",1436072.8358664,413091584.265755,167.5,29.8559841136466,8.58818262506767,8573.56916935164
"13","storm_13","2023-03-17 21:45:00","2023-03-20 12:30:00",803152.4374215,157925734.572458,65.25,16.6975558715489,3.28327930504071,12308.8496156552
"14","storm_14","2023-04-01 02:30:00","2023-04-05 20:45:00",885019.6997352,82067347.3764317,116.75,18.3995779570728,1.70618185813787,7580.46852021585
"15","storm_15","2023-04-05 20:45:00","2023-04-11 16:45:00",1490704.8520401,663761304.410126,143.25,30.9917848656985,13.7996113182978,10406.3165936482
"16","storm_16","2022-02-17 09:45:00","2022-02-21 14:00:00",1767841.4966697,773447378.525645,102,36.7534614692245,16.0799870795352,17331.7793791147
"17","storm_17","2022-02-21 14:00:00","2022-02-22 20:00:00",196868.463939,32140986.0360422,31.75,4.09289945819127,0.668211767901085,6200.58154138583
"18","storm_18","2022-03-04 23:15:00","2022-03-06 09:15:00",101248.5605238,8063683.03977984,35.75,2.10495967824948,0.167644138041161,2832.1275670993
"19","storm_19","2022-03-06 09:15:00","2022-03-15 12:45:00",1330460.7438411,260274915.234589,193,27.660306524763,5.41112089884801,6893.57898363264
"20","storm_20","2022-03-15 12:45:00","2022-03-23 21:15:00",9024202.4490585,2458530722.86296,729.75,187.613356529283,51.1129048412257,12366.1561480761
"21","storm_21","2022-03-23 21:15:00","2022-03-30 11:00:00",1313634.4477848,284936818.108637,136.75,27.3104874799335,5.92384237232093,9606.10199477002
"22","storm_22","2022-03-30 11:00:00","2022-04-07 10:30:00",1376868.713472,155075366.18488,199,28.6251291782121,3.22402008700375,6918.93825865327
