"","storm_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr"
"1","storm_1","2021-12-02 16:30:00","2021-12-06 08:00:00",289598.9393646,25309214.9926493,87.75,17.3412538541677,1.51552185584726,3300.27281327179
"2","storm_2","2022-04-11 18:00:00","2022-04-18 19:15:00",1606398.4131588,231252578.19657,176.25,96.1915217460359,13.8474597722497,9114.31723778043
"3","storm_3","2022-04-18 19:15:00","2022-04-21 17:15:00",357693.5800809,36758317.5232427,73.25,21.4187772503533,2.2010968576792,4883.18880656519
"4","storm_4","2022-04-21 17:15:00","2022-04-25 18:15:00",675910.7864901,66027046.1167231,100.25,40.4736997898263,3.95371533633072,6742.25223431521
"5","storm_5","2022-04-25 18:15:00","2022-05-01 16:30:00",883860.6916944,100385854.08308,149.75,52.9257899218204,6.01112898701078,5902.24168076394
"6","storm_6","2022-05-01 16:30:00","2022-05-14 22:15:00",861411.7296891,69781639.4524276,330,51.5815406999461,4.1785412845765,2610.33857481545
"7","storm_7","2022-05-14 22:15:00","2022-05-21 21:30:00",1210980.1014873,30333305.8244569,174.75,72.5137785321736,1.81636561823095,6929.7859884824
"8","storm_8","2022-05-21 21:30:00","2022-05-27 05:15:00",323560.8025236,8513101.86565863,135.25,19.3748983547066,0.509766578781954,2392.31646967542
"9","storm_9","2022-12-03 14:30:00","2022-12-06 16:30:00",403849.5542595,75141380.4725164,76.5,24.182608039491,4.49948386062972,5279.07914064706
"10","storm_10","2022-12-06 16:30:00","2022-12-13 01:15:00",1195111.0517121,257034878.845863,178.25,71.5635360306647,15.3913101105307,6704.69033218569
"11","storm_11","2022-12-26 01:15:00","2022-12-29 23:00:00",792608.5849455,196033144.248891,97.75,47.4615919129042,11.7385116316701,8108.52772322762
"12","storm_12","2021-12-06 08:00:00","2021-12-10 00:45:00",655778.4434577,73178636.6047595,100.25,39.2681702669281,4.38195428771015,6541.43085743342
"13","storm_13","2022-12-29 23:00:00","2023-01-04 08:30:00",1143014.7186639,338184607.814655,135,68.4439951295748,20.2505753182428,8466.77569380667
"14","storm_14","2023-01-04 08:30:00","2023-01-08 06:45:00",639808.0311906,162010775.931331,97.5,38.3118581551257,9.70124406774435,6562.13365323692
"15","storm_15","2023-01-08 06:45:00","2023-01-11 07:45:00",247705.2879795,65913979.3519912,77.5,14.8326519748204,3.94694487137672,3196.19726425161
"16","storm_16","2023-01-13 01:00:00","2023-01-16 00:45:00",320524.9688781,59001541.0131874,74.25,19.1931119088683,3.53302640797529,4316.83459768485
"17","storm_17","2023-02-09 20:45:00","2023-02-15 16:30:00",501530.5276848,147360413.873804,147.25,30.0317681248383,8.8239768786709,3405.97981449779
"18","storm_18","2023-02-15 16:30:00","2023-02-17 22:15:00",337218.0850134,85868425.5429973,57,20.1926997014012,5.14182188880223,5916.10675462105
"19","storm_19","2023-02-17 22:15:00","2023-02-21 22:15:00",353137.6852839,96495979.2068089,99.25,21.1459691786766,5.77820234771311,3558.06232024081
"20","storm_20","2023-03-17 18:45:00","2023-03-22 16:15:00",409085.5744449,108199316.605542,125.25,24.4961421823293,6.47900099434382,3266.15229097725
"21","storm_21","2023-03-22 17:30:00","2023-03-27 16:15:00",528416.4598101,159237477.480074,124.25,31.6417041802455,9.53517829222002,4252.84877110744
"22","storm_22","2023-04-01 12:15:00","2023-04-04 17:00:00",432170.2185048,116046832.251825,80,25.8784561978922,6.94891211088774,5402.12773131
"23","storm_23","2021-12-11 12:30:00","2021-12-16 02:00:00",587362.0029354,68050041.4904145,111.25,35.1713774212814,4.07485278385715,5279.65845335191
"24","storm_24","2023-04-04 17:00:00","2023-04-09 17:00:00",1035843.9065334,382695468.107985,124.75,62.0265812295449,22.9158962938913,8303.35796820361
"25","storm_25","2023-04-09 17:00:00","2023-04-13 14:15:00",977698.086498,308640709.015433,98.5,58.5447955986826,18.4814795817624,9925.86889845685
"26","storm_26","2023-04-27 05:00:00","2023-04-30 18:45:00",435907.8704916,71950416.3932483,89.5,26.1022676941078,4.30840816726038,4870.47899990614
"27","storm_27","2023-04-30 18:45:00","2023-05-06 15:15:00",858595.8228552,105382688.606093,145.25,51.4129235242635,6.31034063509541,5911.15884926127
"28","storm_28","2022-02-26 21:00:00","2022-03-06 14:00:00",3785575.6212831,1020840620.37334,530,226.681174927132,61.1281808606792,7142.59551185491
"29","storm_29","2022-03-06 14:00:00","2022-03-11 19:30:00",1110345.0369498,307110929.337413,137.5,66.4877267634611,18.3898760082283,8075.23663236218
"30","storm_30","2022-03-16 18:00:00","2022-03-24 06:00:00",1467719.0063442,322133982.396853,188.5,87.8873656493533,19.2894600237637,7786.30772596392
"31","storm_31","2022-03-24 06:00:00","2022-03-31 16:00:00",1028049.7927896,178601053.139069,185,61.5598678317126,10.6946738406628,5557.02590697081
"32","storm_32","2022-03-31 16:00:00","2022-04-06 18:15:00",848514.0420513,145524573.198449,151.75,50.8092240749281,8.71404629930833,5591.52581252916
"33","storm_33","2022-04-06 18:15:00","2022-04-11 18:00:00",1074702.242547,150152766.675229,134,64.3534276974251,8.99118363324726,8020.16598915672
