"","run_id","start","end","tot_q_m3","tot_constit_mgN","duration_hrs","water_yield_mm","constit_yield_mm","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.12","2021-12-02 21:15:00","2021-12-05 10:30:00",162897.057512601,1041452.34598321,52.75,9.75431482111385,0.0623624159271385,3088.09587701614,0.996,"0.12","storm_1"
"2","FC = 0.996, SFT = 0.12","2021-12-11 14:45:00","2021-12-15 03:15:00",372790.089876836,4100915.42203639,77.5,22.3227598728645,0.24556379772673,4810.19470808821,0.996,"0.12","storm_2"
"3","FC = 0.996, SFT = 0.12","2021-12-15 05:00:00","2021-12-15 22:00:00",12916.2003143644,58210.56004378,14,0.773425168524816,0.00348566227807066,922.585736740316,0.996,"0.12","storm_3"
"4","FC = 0.996, SFT = 0.12","2021-12-16 02:45:00","2022-01-27 01:30:00",309802.700195942,3071254.83847738,46.5,18.5510598919726,0.183907475357927,6662.42366012779,0.996,"0.12","storm_4"
"5","FC = 0.996, SFT = 0.12","2022-03-06 16:45:00","2022-03-11 09:30:00",875599.68076079,9117215.31066752,124.25,52.4311186084306,0.545941036566918,7047.07992564017,0.996,"0.12","storm_5"
"6","FC = 0.996, SFT = 0.12","2022-03-12 09:15:00","2022-03-14 19:00:00",106912.904592793,660645.119099498,48,6.40197033489779,0.0395595879700298,2227.35217901652,0.996,"0.12","storm_6"
"7","FC = 0.996, SFT = 0.12","2022-03-16 20:45:00","2022-03-23 05:15:00",1008341.39448956,9536888.80585111,161,60.3797242209317,0.571071185979108,6262.99002788546,0.996,"0.12","storm_7"
"8","FC = 0.996, SFT = 0.12","2022-03-23 10:00:00","2022-03-23 19:45:00",35775.180055179,205395.916689688,26.25,2.14222635060952,0.0122991566880053,1362.86400210206,0.996,"0.12","storm_8"
"9","FC = 0.996, SFT = 0.12","2022-03-24 07:15:00","2022-03-30 06:15:00",575098.994959527,4884001.57555823,146.75,34.4370655664387,0.292455184165164,3918.90286173442,0.996,"0.12","storm_9"
"10","FC = 0.996, SFT = 0.12","2022-03-30 12:15:00","2022-03-31 01:00:00",6187.45590420293,35724.3799494599,9,0.370506341569038,0.00213918442811137,687.495100466992,0.996,"0.12","storm_10"
