"","run_id","start","end","tot_q_m3","duration_hrs","intensity_m3_hr","filter_para","sf_thresh","storm_id"
"1","FC = 0.996, SFT = 0.098","2015-05-10 18:30:00","2015-05-18 04:00:00",141483.749266163,177.75,795.97046000654,"0.996","0.098","storm_1"
"2","FC = 0.996, SFT = 0.098","2015-05-19 20:30:00","2015-05-20 18:30:00",10338.4034275046,22.25,464.647345056387,"0.996","0.098","storm_2"
"3","FC = 0.996, SFT = 0.098","2015-05-27 20:00:00","2015-05-29 22:30:00",41002.2262090879,50.75,807.925639587939,"0.996","0.098","storm_3"
"4","FC = 0.996, SFT = 0.098","2015-05-30 22:15:00","2015-06-08",763702.953993116,170,4492.37031760657,"0.996","0.098","storm_4"
"5","FC = 0.996, SFT = 0.098","2015-06-21 07:30:00","2015-06-27 18:30:00",927274.413202085,155.25,5972.78204961085,"0.996","0.098","storm_5"
"6","FC = 0.996, SFT = 0.098","2015-08-11 16:00:00","2015-08-13 09:15:00",25037.7748561302,41.5,603.319876051331,"0.996","0.098","storm_6"
"7","FC = 0.996, SFT = 0.098","2015-08-13 10:30:00","2015-08-13 17:00:00",2555.82627639783,6.75,378.640929836715,"0.996","0.098","storm_7"
"8","FC = 0.996, SFT = 0.098","2015-08-13 18:00:00","2015-08-13 20:45:00",1096.9315837055,3,365.643861235166,"0.996","0.098","storm_8"
"9","FC = 0.996, SFT = 0.098","2015-08-14 22:00:00","2015-08-15 02:00:00",1555.51649835943,4.25,366.003881966925,"0.996","0.098","storm_9"
"10","FC = 0.996, SFT = 0.098","2015-08-15 05:15:00","2015-08-16 01:30:00",9531.55226667176,20.5,464.953769105939,"0.996","0.098","storm_10"
"11","FC = 0.996, SFT = 0.098","2015-09-08 09:00:00","2015-09-09 05:15:00",10610.2555936809,20.5,517.57344359419,"0.996","0.098","storm_11"
"12","FC = 0.996, SFT = 0.098","2015-09-09 09:00:00","2015-09-10 11:00:00",13350.5520535505,26.25,508.592459182876,"0.996","0.098","storm_12"
"13","FC = 0.996, SFT = 0.098","2015-09-14 01:45:00","2015-09-16 09:15:00",45704.4370206957,55.75,819.810529519205,"0.996","0.098","storm_13"
"14","FC = 0.996, SFT = 0.098","2015-09-30 06:45:00","2015-10-04 07:30:00",155886.972462591,97,1607.08219033599,"0.996","0.098","storm_14"
"15","FC = 0.996, SFT = 0.098","2015-10-09 19:15:00","2015-10-12 00:30:00",36462.4235809621,53.5,681.540627681535,"0.996","0.098","storm_15"
"16","FC = 0.996, SFT = 0.098","2015-10-17 19:45:00","2015-10-18 18:45:00",9386.17454025988,23.25,403.706431839134,"0.996","0.098","storm_16"
"17","FC = 0.996, SFT = 0.098","2015-10-28 20:30:00","2015-11-05 08:15:00",296148.251045491,180,1645.26806136384,"0.996","0.098","storm_17"
"18","FC = 0.996, SFT = 0.098","2015-11-13 07:30:00","2015-11-17 20:15:00",145514.463806268,109,1334.99508079145,"0.996","0.098","storm_18"
"19","FC = 0.996, SFT = 0.098","2015-11-20 00:15:00","2015-11-20 14:30:00",90717.8691611109,14.5,6256.40476973178,"0.996","0.098","storm_19"
"20","FC = 0.98, SFT = 0.098","2015-04-09 14:45:00","2015-04-12 08:15:00",259163.584118282,65.75,3941.65146947958,"0.98","0.098","storm_1"
"21","FC = 0.98, SFT = 0.098","2015-04-12 17:00:00","2015-04-13 08:30:00",14071.2820463761,15.75,893.414733103244,"0.98","0.098","storm_2"
"22","FC = 0.98, SFT = 0.098","2015-04-13 15:30:00","2015-04-16 09:00:00",127076.265909641,65.75,1932.71887315043,"0.98","0.098","storm_3"
"23","FC = 0.98, SFT = 0.098","2015-04-16 15:45:00","2015-04-19 14:00:00",46637.0292871988,70.5,661.518145917714,"0.98","0.098","storm_4"
"24","FC = 0.98, SFT = 0.098","2015-04-20 11:30:00","2015-04-26 07:45:00",349928.978564173,140.5,2490.59771220052,"0.98","0.098","storm_5"
"25","FC = 0.98, SFT = 0.098","2015-04-27 10:00:00","2015-05-04 13:00:00",100688.721184407,90.25,1115.66450065825,"0.98","0.098","storm_6"
"26","FC = 0.98, SFT = 0.098","2015-05-05 06:30:00","2015-05-06 03:45:00",10248.1312798428,21.5,476.657268829897,"0.98","0.098","storm_7"
"27","FC = 0.98, SFT = 0.098","2015-05-11 02:45:00","2015-05-14 03:15:00",62818.9454164698,72.75,863.490658645633,"0.98","0.098","storm_8"
"28","FC = 0.98, SFT = 0.098","2015-05-20 03:45:00","2015-05-20 10:15:00",2658.12760273161,6.75,393.796681886165,"0.98","0.098","storm_9"
"29","FC = 0.98, SFT = 0.098","2015-05-27 20:15:00","2015-05-29 06:30:00",30290.5670815249,34.5,877.987451638404,"0.98","0.098","storm_10"
"30","FC = 0.98, SFT = 0.098","2015-05-30 23:30:00","2015-06-05 16:00:00",577886.875849495,112.75,5125.38249090461,"0.98","0.098","storm_11"
"31","FC = 0.98, SFT = 0.098","2015-06-05 22:30:00","2015-06-07 05:15:00",30384.7130642426,31,980.152034330405,"0.98","0.098","storm_12"
"32","FC = 0.98, SFT = 0.098","2015-06-08 13:30:00","2015-06-12 04:45:00",612834.364020072,87.5,7003.82130308654,"0.98","0.098","storm_13"
"33","FC = 0.98, SFT = 0.098","2015-06-12 20:15:00","2015-06-15 21:15:00",380373.418015329,73.25,5192.81116744477,"0.98","0.098","storm_14"
"34","FC = 0.98, SFT = 0.098","2015-06-16 12:45:00","2015-06-18 13:30:00",108497.610142647,49,2214.23694168667,"0.98","0.098","storm_15"
"35","FC = 0.98, SFT = 0.098","2015-06-18 23:45:00","2015-06-20 19:45:00",95151.8229510045,44.25,2150.32368250858,"0.98","0.098","storm_16"
"36","FC = 0.98, SFT = 0.098","2015-06-21 08:30:00","2015-06-27 02:00:00",828074.836769697,137.75,6011.43257183083,"0.98","0.098","storm_17"
"37","FC = 0.98, SFT = 0.098","2015-06-28 11:00:00","2015-06-30 07:15:00",42667.1656979044,44.5,958.812712312458,"0.98","0.098","storm_18"
"38","FC = 0.98, SFT = 0.098","2015-07-01 13:00:00","2015-07-06 03:15:00",251675.599183031,106,2374.29810550029,"0.98","0.098","storm_19"
"39","FC = 0.98, SFT = 0.098","2015-07-08 06:30:00","2015-07-11 01:45:00",79981.3312476887,67.5,1184.90861107687,"0.98","0.098","storm_20"
"40","FC = 0.98, SFT = 0.098","2015-07-18 07:00:00","2015-07-21 08:45:00",308128.991217543,74,4163.90528672356,"0.98","0.098","storm_21"
"41","FC = 0.98, SFT = 0.098","2015-07-21 15:00:00","2015-07-25 07:45:00",261310.758973767,89,2936.07594352547,"0.98","0.098","storm_22"
"42","FC = 0.98, SFT = 0.098","2015-07-25 20:30:00","2015-07-26 12:45:00",8631.26606333327,16.5,523.107034141411,"0.98","0.098","storm_23"
"43","FC = 0.98, SFT = 0.098","2015-07-28 00:30:00","2015-07-29 13:30:00",61891.3904366267,37.25,1661.51383722488,"0.98","0.098","storm_24"
"44","FC = 0.98, SFT = 0.098","2015-07-30 21:00:00","2015-08-01 02:00:00",20668.6184241385,29.25,706.619433303881,"0.98","0.098","storm_25"
"45","FC = 0.98, SFT = 0.098","2015-08-11 17:00:00","2015-08-13 01:00:00",18650.3492062044,32.25,578.305401742771,"0.98","0.098","storm_26"
"46","FC = 0.98, SFT = 0.098","2015-08-15 08:45:00","2015-08-15 13:30:00",1840.05460225682,5,368.010920451364,"0.98","0.098","storm_27"
"47","FC = 0.98, SFT = 0.098","2015-09-08 09:00:00","2015-09-09 04:00:00",10072.5234695371,19.25,523.247972443486,"0.98","0.098","storm_28"
"48","FC = 0.98, SFT = 0.098","2015-09-09 09:30:00","2015-09-10 02:45:00",8446.36224808232,17.5,482.64927131899,"0.98","0.098","storm_29"
"49","FC = 0.98, SFT = 0.098","2015-09-14 04:15:00","2015-09-15 22:15:00",34273.973917526,42.25,811.218317574581,"0.98","0.098","storm_30"
"50","FC = 0.98, SFT = 0.098","2015-09-30 06:45:00","2015-10-02 19:00:00",124278.516812019,60.5,2054.19036052924,"0.98","0.098","storm_31"
"51","FC = 0.98, SFT = 0.098","2015-10-09 20:15:00","2015-10-11 05:45:00",25734.2986923186,33.75,762.497739031662,"0.98","0.098","storm_32"
"52","FC = 0.98, SFT = 0.098","2015-10-28 20:30:00","2015-10-31 09:15:00",182127.55236893,61,2985.69757981853,"0.98","0.098","storm_33"
"53","FC = 0.98, SFT = 0.098","2015-11-01 18:45:00","2015-11-03 00:30:00",15886.4904504003,30,529.549681680011,"0.98","0.098","storm_34"
"54","FC = 0.98, SFT = 0.098","2015-11-13 07:30:00","2015-11-16 12:45:00",109294.613332647,77.5,1410.25307525996,"0.98","0.098","storm_35"
"55","FC = 0.98, SFT = 0.098","2015-11-20 01:15:00","2015-11-20 14:30:00",87892.9603165228,13.5,6510.58965307576,"0.98","0.098","storm_36"
"56","FC = 0.996, SFT = 0.1","2015-05-10 18:45:00","2015-05-18 03:45:00",141304.440488028,177.25,797.20417764755,"0.996","0.1","storm_1"
"57","FC = 0.996, SFT = 0.1","2015-05-19 20:45:00","2015-05-20 18:15:00",10159.7879045898,21.75,467.116685268498,"0.996","0.1","storm_2"
"58","FC = 0.996, SFT = 0.1","2015-05-27 20:00:00","2015-05-29 22:15:00",40913.0997831633,50.5,810.160391745808,"0.996","0.1","storm_3"
"59","FC = 0.996, SFT = 0.1","2015-05-30 22:15:00","2015-06-08",763702.953993116,170,4492.37031760657,"0.996","0.1","storm_4"
"60","FC = 0.996, SFT = 0.1","2015-06-21 07:30:00","2015-06-27 18:00:00",927095.628949404,154.75,5990.92490435803,"0.996","0.1","storm_5"
